numero_obra;numero_exemplar;numero_legado;ordem_estante;secao;grupo_autor_espiritual;codigo_autor;titulo;autor_espiritual;medium;tipo_obra;colecao;categorias;idioma;editora;sinopse;historico
"201";"201";"276";"276";"ROM";"Humberto de Campos";"HUC";"Coração e Vida";"Humberto de Campos";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 276 · Ordem estante (Table 2): 276 · Obra nº 201"
"202";"202";"1070";"1070";"ROM";"Humberto de Campos";"HUC";"Crônicas de Além Túmulo";"Humberto de Campos";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 1070 · Ordem estante (Table 2): 1070 · Obra nº 202"
"203";"203.1";"306";"420";"ROM";"Humberto de Campos";"HUC";"Crônicas do Alem Túmulo";"Humberto de Campos";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 306 · Ordem estante (Table 2): 420 · Obra nº 203 · Exemplares da mesma obra: 306, 308, 420"
"203";"203.2";"308";"420";"ROM";"Humberto de Campos";"HUC";"Crônicas do Alem Túmulo";"Humberto de Campos";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 308 · Ordem estante (Table 2): 420 · Obra nº 203 · Exemplares da mesma obra: 306, 308, 420"
"203";"203.3";"420";"420";"ROM";"Humberto de Campos";"HUC";"Crônicas do Alem Túmulo";"Humberto de Campos";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 420 · Ordem estante (Table 2): 420 · Obra nº 203 · Exemplares da mesma obra: 306, 308, 420"
"204";"204";"287";"287";"ROM";"Humberto de Campos";"HUC";"Reportagem de Além Túmulo";"Humberto de Campos";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 287 · Ordem estante (Table 2): 287 · Obra nº 204"
"205";"205.1";"642";"1000";"ROM";"Irmão Jacob";"IJC";"Voltei";"Irmão Jacob";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 642 · Ordem estante (Table 2): 1000 · Obra nº 205 · Exemplares da mesma obra: 642, 842, 852, 942, 1000"
"205";"205.2";"842";"1000";"ROM";"Irmão Jacob";"IJC";"Voltei";"Irmão Jacob";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 842 · Ordem estante (Table 2): 1000 · Obra nº 205 · Exemplares da mesma obra: 642, 842, 852, 942, 1000"
"205";"205.3";"852";"1000";"ROM";"Irmão Jacob";"IJC";"Voltei";"Irmão Jacob";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 852 · Ordem estante (Table 2): 1000 · Obra nº 205 · Exemplares da mesma obra: 642, 842, 852, 942, 1000"
"205";"205.4";"942";"1000";"ROM";"Irmão Jacob";"IJC";"Voltei";"Irmão Jacob";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 942 · Ordem estante (Table 2): 1000 · Obra nº 205 · Exemplares da mesma obra: 642, 842, 852, 942, 1000"
"205";"205.5";"1000";"1000";"ROM";"Irmão Jacob";"IJC";"Voltei";"Irmão Jacob";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 1000 · Ordem estante (Table 2): 1000 · Obra nº 205 · Exemplares da mesma obra: 642, 842, 852, 942, 1000"
"206";"206";"86";"86";"ROM";"Irmão X";"IRX";"Contos Desta e Doutra Vida";"Irmão X";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 86 · Ordem estante (Table 2): 86 · Obra nº 206"
"207";"207";"189";"189";"ROM";"Irmão X";"IRX";"Estante da Vida";"Irmão X";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 189 · Ordem estante (Table 2): 189 · Obra nº 207"
"208";"208";"482";"482";"ROM";"Irmão X";"IRX";"Lázaro Redivivo";"Irmão X";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 482 · Ordem estante (Table 2): 482 · Obra nº 208"
"209";"209";"196";"196";"ROM";"Irmão X";"IRX";"Ponto e Contos";"Irmão X";"Francisco Cândido Xavier";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 196 · Ordem estante (Table 2): 196 · Obra nº 209"
"210";"210";"444";"444";"ROM";"Ivone A. Pereira";"IAP";"Nas Brumas da Mente";"Ivone A. Pereira";"";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 444 · Ordem estante (Table 2): 444 · Obra nº 210"
"211";"211";"133";"133";"ROM";"Ivone A. Pereira";"IAP";"Nas Telas do Infinito";"Ivone A. Pereira";"";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 133 · Ordem estante (Table 2): 133 · Obra nº 211"
"212";"212";"4";"4";"ROM";"Ivone A. Pereira";"IAP";"Nas Voragens do Pecado";"Ivone A. Pereira";"";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 4 · Ordem estante (Table 2): 4 · Obra nº 212"
"213";"213";"2";"2";"ROM";"Ivone A. Pereira";"IAP";"Ressurreição e Vida";"Ivone A. Pereira";"";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 2 · Ordem estante (Table 2): 2 · Obra nº 213"
"214";"214.1";"6";"7";"ROM";"Ivone A. Pereira";"IAP";"Redenção";"Ivone Amaral Pereira";"";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 6 · Ordem estante (Table 2): 7 · Obra nº 214 · Exemplares da mesma obra: 6, 7"
"214";"214.2";"7";"7";"ROM";"Ivone A. Pereira";"IAP";"Redenção";"Ivone Amaral Pereira";"";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 7 · Ordem estante (Table 2): 7 · Obra nº 214 · Exemplares da mesma obra: 6, 7"
"215";"215";"629";"629";"ROM";"J. W. Rochester";"JWR";"O Faraó Mernephtah";"Conde J. W. Rochester";"";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 629 · Ordem estante (Table 2): 629 · Obra nº 215"
"216";"216";"447";"447";"ROM";"J. W. Rochester";"JWR";"A lenda do Castelo de Montinhoso.";"Espírito Conde J. W. Rochester";"Vera Krijanowski";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 447 · Ordem estante (Table 2): 447 · Obra nº 216"
"217";"217";"755";"755";"ROM";"J. W. Rochester";"JWR";"A noite de São Bartolomeu";"J W Rochester";"";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 755 · Ordem estante (Table 2): 755 · Obra nº 217"
"218";"218";"383";"383";"ROM";"J. W. Rochester";"JWR";"O Chanceler de Ferro";"J W Rochester";"";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 383 · Ordem estante (Table 2): 383 · Obra nº 218"
"219";"219";"995";"995";"ROM";"J. W. Rochester";"JWR";"Herculanum";"J. W. Rochester";"";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 995 · Ordem estante (Table 2): 995 · Obra nº 219"
"220";"220";"18";"18";"ROM";"J. W. Rochester";"JWR";"Alma de Minh'Alma";"J. W. Rochester";"Maria Gertrudes";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 18 · Ordem estante (Table 2): 18 · Obra nº 220"
"221";"221.1";"61";"541";"ROM";"Joanna de Ângelis";"JOA";"Adolescência e Vida";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 61 · Ordem estante (Table 2): 541 · Obra nº 221 · Exemplares da mesma obra: 61, 425, 541"
"221";"221.2";"425";"541";"ROM";"Joanna de Ângelis";"JOA";"Adolescência e Vida";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 425 · Ordem estante (Table 2): 541 · Obra nº 221 · Exemplares da mesma obra: 61, 425, 541"
"221";"221.3";"541";"541";"ROM";"Joanna de Ângelis";"JOA";"Adolescência e Vida";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 541 · Ordem estante (Table 2): 541 · Obra nº 221 · Exemplares da mesma obra: 61, 425, 541"
"222";"222.1";"43";"44";"ROM";"Joanna de Ângelis";"JOA";"Alerta";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 43 · Ordem estante (Table 2): 44 · Obra nº 222 · Exemplares da mesma obra: 43, 44"
"222";"222.2";"44";"44";"ROM";"Joanna de Ângelis";"JOA";"Alerta";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 44 · Ordem estante (Table 2): 44 · Obra nº 222 · Exemplares da mesma obra: 43, 44"
"223";"223.1";"99";"702";"ROM";"Joanna de Ângelis";"JOA";"Amor Imbatível Amor";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 99 · Ordem estante (Table 2): 702 · Obra nº 223 · Exemplares da mesma obra: 99, 186, 702"
"223";"223.2";"186";"702";"ROM";"Joanna de Ângelis";"JOA";"Amor Imbatível Amor";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 186 · Ordem estante (Table 2): 702 · Obra nº 223 · Exemplares da mesma obra: 99, 186, 702"
"223";"223.3";"702";"702";"ROM";"Joanna de Ângelis";"JOA";"Amor Imbatível Amor";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 702 · Ordem estante (Table 2): 702 · Obra nº 223 · Exemplares da mesma obra: 99, 186, 702"
"224";"224.1";"1123";"1128";"ROM";"Joanna de Ângelis";"JOA";"Após a Tempestade";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 1123 · Ordem estante (Table 2): 1128 · Obra nº 224 · Exemplares da mesma obra: 1123, 1128"
"224";"224.2";"1128";"1128";"ROM";"Joanna de Ângelis";"JOA";"Após a Tempestade";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 1128 · Ordem estante (Table 2): 1128 · Obra nº 224 · Exemplares da mesma obra: 1123, 1128"
"225";"225";"35";"35";"ROM";"Joanna de Ângelis";"JOA";"Após da Tempestade";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 35 · Ordem estante (Table 2): 35 · Obra nº 225"
"226";"226";"797";"797";"ROM";"Joanna de Ângelis";"JOA";"Atitudes renovadas";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 797 · Ordem estante (Table 2): 797 · Obra nº 226"
"227";"227";"461";"461";"ROM";"Joanna de Ângelis";"JOA";"Auto Descobrimento - uma busca interior";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 461 · Ordem estante (Table 2): 461 · Obra nº 227"
"228";"228.1";"98";"98";"ROM";"Joanna de Ângelis";"JOA";"Celeiro de Bençãos";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 98 · Ordem estante (Table 2): 98 · Obra nº 228 · Exemplares da mesma obra: 98, 1101"
"228";"228.2";"1101";"1101";"ROM";"Joanna de Ângelis";"JOA";"Celeiro de Bençãos";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 1101 · Ordem estante (Table 2): 1101 · Obra nº 228 · Exemplares da mesma obra: 98, 1101"
"229";"229.1";"841";"841";"ROM";"Joanna de Ângelis";"JOA";"Convites da Vida";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 841 · Ordem estante (Table 2): 841 · Obra nº 229 · Exemplares da mesma obra: 841, 926"
"229";"229.2";"926";"926";"ROM";"Joanna de Ângelis";"JOA";"Convites da Vida";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 926 · Ordem estante (Table 2): 926 · Obra nº 229 · Exemplares da mesma obra: 841, 926"
"230";"230";"25";"25";"ROM";"Joanna de Ângelis";"JOA";"Cristomatia da Imortalidade";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 25 · Ordem estante (Table 2): 25 · Obra nº 230"
"231";"231";"427";"427";"ROM";"Joanna de Ângelis";"JOA";"Diretrizes para o Êxito";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 427 · Ordem estante (Table 2): 427 · Obra nº 231"
"232";"232";"675";"675";"ROM";"Joanna de Ângelis";"JOA";"Espírito e Vida";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 675 · Ordem estante (Table 2): 675 · Obra nº 232"
"233";"233.1";"37";"37";"ROM";"Joanna de Ângelis";"JOA";"Estudos Espíritas";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 37 · Ordem estante (Table 2): 37 · Obra nº 233 · Exemplares da mesma obra: 37, 1062"
"233";"233.2";"1062";"1062";"ROM";"Joanna de Ângelis";"JOA";"Estudos Espíritas";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 1062 · Ordem estante (Table 2): 1062 · Obra nº 233 · Exemplares da mesma obra: 37, 1062"
"234";"234";"798";"798";"ROM";"Joanna de Ângelis";"JOA";"Fonte de Luz";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 798 · Ordem estante (Table 2): 798 · Obra nº 234"
"235";"235";"521";"521";"ROM";"Joanna de Ângelis";"JOA";"Ilumina-te";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 521 · Ordem estante (Table 2): 521 · Obra nº 235"
"236";"236";"529";"529";"ROM";"Joanna de Ângelis";"JOA";"Jesus e o Evangelho a Luz da psicologia profunda";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 529 · Ordem estante (Table 2): 529 · Obra nº 236"
"237";"237.1";"39";"40";"ROM";"Joanna de Ângelis";"JOA";"Lampadário espiríta";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 39 · Ordem estante (Table 2): 40 · Obra nº 237 · Exemplares da mesma obra: 39, 40"
"237";"237.2";"40";"40";"ROM";"Joanna de Ângelis";"JOA";"Lampadário espiríta";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 40 · Ordem estante (Table 2): 40 · Obra nº 237 · Exemplares da mesma obra: 39, 40"
"238";"238";"30";"30";"ROM";"Joanna de Ângelis";"JOA";"Leis Morais da Vida";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 30 · Ordem estante (Table 2): 30 · Obra nº 238"
"239";"239";"744";"744";"ROM";"Joanna de Ângelis";"JOA";"Liberta-te do Mal";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 744 · Ordem estante (Table 2): 744 · Obra nº 239"
"240";"240";"208";"208";"ROM";"Joanna de Ângelis";"JOA";"Libertação do sofrimento";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 208 · Ordem estante (Table 2): 208 · Obra nº 240"
"241";"241.1";"26";"795";"ROM";"Joanna de Ângelis";"JOA";"No Limiar do Infinito";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 26 · Ordem estante (Table 2): 795 · Obra nº 241 · Exemplares da mesma obra: 26, 676, 795"
"241";"241.2";"676";"795";"ROM";"Joanna de Ângelis";"JOA";"No Limiar do Infinito";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 676 · Ordem estante (Table 2): 795 · Obra nº 241 · Exemplares da mesma obra: 26, 676, 795"
"241";"241.3";"795";"795";"ROM";"Joanna de Ângelis";"JOA";"No Limiar do Infinito";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 795 · Ordem estante (Table 2): 795 · Obra nº 241 · Exemplares da mesma obra: 26, 676, 795"
"242";"242";"898";"898";"ROM";"Joanna de Ângelis";"JOA";"No Rumo da Felicidade";"Joanna de ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 898 · Ordem estante (Table 2): 898 · Obra nº 242"
"243";"243";"792";"792";"ROM";"Joanna de Ângelis";"JOA";"O amor como solução";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 792 · Ordem estante (Table 2): 792 · Obra nº 243"
"244";"244";"513";"513";"ROM";"Joanna de Ângelis";"JOA";"O despertar do Espírito";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 513 · Ordem estante (Table 2): 513 · Obra nº 244"
"245";"245.1";"768";"768";"ROM";"Joanna de Ângelis";"JOA";"O Homem Integral";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 768 · Ordem estante (Table 2): 768 · Obra nº 245 · Exemplares da mesma obra: 768, 1131"
"245";"245.2";"1131";"1131";"ROM";"Joanna de Ângelis";"JOA";"O Homem Integral";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 1131 · Ordem estante (Table 2): 1131 · Obra nº 245 · Exemplares da mesma obra: 768, 1131"
"246";"246.1";"453";"453";"ROM";"Joanna de Ângelis";"JOA";"O Ser Consciente";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 453 · Ordem estante (Table 2): 453 · Obra nº 246 · Exemplares da mesma obra: 453, 1126"
"246";"246.2";"1126";"1126";"ROM";"Joanna de Ângelis";"JOA";"O Ser Consciente";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 1126 · Ordem estante (Table 2): 1126 · Obra nº 246 · Exemplares da mesma obra: 453, 1126"
"247";"247.1";"23";"24";"ROM";"Joanna de Ângelis";"JOA";"Oferenda";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 23 · Ordem estante (Table 2): 24 · Obra nº 247 · Exemplares da mesma obra: 23, 24"
"247";"247.2";"24";"24";"ROM";"Joanna de Ângelis";"JOA";"Oferenda";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 24 · Ordem estante (Table 2): 24 · Obra nº 247 · Exemplares da mesma obra: 23, 24"
"248";"248.1";"866";"866";"ROM";"Joanna de Ângelis";"JOA";"Otimismo";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 866 · Ordem estante (Table 2): 866 · Obra nº 248 · Exemplares da mesma obra: 866, 1124"
"248";"248.2";"1124";"1124";"ROM";"Joanna de Ângelis";"JOA";"Otimismo";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 1124 · Ordem estante (Table 2): 1124 · Obra nº 248 · Exemplares da mesma obra: 866, 1124"
"249";"249.1";"144";"145";"ROM";"Joanna de Ângelis";"JOA";"Plenitude";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 144 · Ordem estante (Table 2): 145 · Obra nº 249 · Exemplares da mesma obra: 144, 145"
"249";"249.2";"145";"145";"ROM";"Joanna de Ângelis";"JOA";"Plenitude";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 145 · Ordem estante (Table 2): 145 · Obra nº 249 · Exemplares da mesma obra: 144, 145"
"250";"250";"1105";"1105";"ROM";"Joanna de Ângelis";"JOA";"Psicologia da Gratidão";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 1105 · Ordem estante (Table 2): 1105 · Obra nº 250"
"251";"251.1";"14";"14";"ROM";"Joanna de Ângelis";"JOA";"Repositorio de Sabedoria";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 14 · Ordem estante (Table 2): 14 · Obra nº 251 · Exemplares da mesma obra: 14, 520"
"251";"251.2";"520";"520";"ROM";"Joanna de Ângelis";"JOA";"Repositorio de Sabedoria";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 520 · Ordem estante (Table 2): 520 · Obra nº 251 · Exemplares da mesma obra: 14, 520"
"252";"252";"22";"22";"ROM";"Joanna de Ângelis";"JOA";"S.O.S da Familia";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 22 · Ordem estante (Table 2): 22 · Obra nº 252"
"253";"253";"525";"525";"ROM";"Joanna de Ângelis";"JOA";"Segue em Harmonia";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 525 · Ordem estante (Table 2): 525 · Obra nº 253"
"254";"254";"223";"223";"ROM";"Joanna de Ângelis";"JOA";"SOS Família";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 223 · Ordem estante (Table 2): 223 · Obra nº 254"
"255";"255";"1033";"1033";"ROM";"Joanna de Ângelis";"JOA";"Suave Luz Nas Sombras";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 1033 · Ordem estante (Table 2): 1033 · Obra nº 255"
"256";"256.1";"775";"775";"ROM";"Joanna de Ângelis";"JOA";"Triunfo Pessoal";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 775 · Ordem estante (Table 2): 775 · Obra nº 256 · Exemplares da mesma obra: 775, 780"
"256";"256.2";"780";"780";"ROM";"Joanna de Ângelis";"JOA";"Triunfo Pessoal";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 780 · Ordem estante (Table 2): 780 · Obra nº 256 · Exemplares da mesma obra: 775, 780"
"257";"257";"140";"140";"ROM";"Joanna de Ângelis";"JOA";"Vida - desfio e soluções";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 140 · Ordem estante (Table 2): 140 · Obra nº 257"
"258";"258";"769";"769";"ROM";"Joanna de Ângelis";"JOA";"Vida ; Desafios e soluções";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 769 · Ordem estante (Table 2): 769 · Obra nº 258"
"259";"259";"50";"50";"ROM";"Joanna de Ângelis";"JOA";"Vitória sobre a depressão";"Joanna de Ângelis";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 50 · Ordem estante (Table 2): 50 · Obra nº 259"
"260";"260";"1095";"1095";"ROM";"Joanna de Ângelis";"JOA";"SOS Família";"Joanna de Ângelis - Espiritos Diversos";"Divaldo Pereira Franco";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 1095 · Ordem estante (Table 2): 1095 · Obra nº 260"
"261";"261.1";"36";"36";"ROM";"Lúcius";"LUC";"Imagens do Além";"Espírito Lúcius";"Heigorina Cunha";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 36 · Ordem estante (Table 2): 36 · Obra nº 261 · Exemplares da mesma obra: 36, 1089, 1090"
"261";"261.2";"1089";"1090";"ROM";"Lúcius";"LUC";"Imagens do Além";"Espírito Lúcius";"Heigorina Cunha";"PSYCHOGRAPHED";"";"Romance Espírita";"Português";"";"";"Nº legado deste exemplar: 1089 · Ordem estante (Table 2): 1090 · Obra nº 261 · Exemplares da mesma obra: 36, 1089, 1090"
